Filename,Artist,Country/Entity,Keywords
CMB0308.tif,,Cambodia,deer|animal|antler|binatang|tanduk|rusa
,,,
CMB0315.tif,,Cambodia,boy|dirt|play|sand|anak laki-laki|bermain-main|pasir
,,,
CMB0327.tif,,Cambodia,flute|musical instrument|suling|alat musik
,,,
CMB0322.tif,,Cambodia,boy|father|man|people|reading|son|anak laki-laki|ayah|manusia|orang|orang-orang|membaca
,,,
CMB0320.tif,,Cambodia,carry|man|motorcycle|people|riding|smoking|walking|bawa|manusia|sepeda motor|motor|orang|orang-orang|naik|merokok|berjalan
,,,
CMB0346.tif,,Cambodia,carry|dog|hunting|lizard|man|reptile|tree|bawa|anjing|buru (memburu)|kadal|manusia|reptil|pohon
,,,
CMB0358.tif,,Cambodia,climb|man|panjat|naik|manusia
,,,
CMB0339.tif,,Cambodia,vine|gourd|plant|labu|tanaman|tumbuhan merambat
,,,
CMB0334.tif,,Cambodia,garden|woman|agriculture|house|pertanian|taman|kebun|rumah|wanita
,,,
CMB0370.tif,,Cambodia,house|fence|pagar|rumah
,,,
CMB0365.tif,,Cambodia,musical instrument|harp|kecapi|alat musik
,,,
CMB0353.tif,,Cambodia,dog|house|man|talking|woman|anjing|rumah|manusia|bicara|wanita
,,,
CMB0392.tif,,Cambodia,fruit|jackfruit|buah|nangka|cempedak
,,,
CMB0377.tif,,Cambodia,boy|child|house|mother|son|wash|woman|anak laki-laki|anak|rumah|ibu|cuci|wanita
,,,
CMB0390.tif,,Cambodia,arm|injection|anatomy|muscle|vaccination|syringe|bagian-bagian tubuh|lengan|suntik|otot|urat|jarum suntik|vaksinasi|pencacaran
,,,
CMB0372.tif,,Cambodia,monkey|animal|hang|binatang|gantung|kera|monyet
,,,
CMB0351.tif,,Cambodia,bird|hunting|man|burung |buru (memburu)|manusia
,,,
CMB0385.tif,,Cambodia,dirt|house|sweep|woman|work|rumah|sapu|menyapu|wanita|kerja
,,,
CMB0397.tif,,Cambodia,weigh|scale|chicken|meat|ayam|daging|timbangan|timbang
,,,
CMB0409.tif,,Cambodia,boy|elephant|man|riding|woman|anak laki-laki|gajah|manusia|naik|wanita
,,,
CMB0404.tif,,Cambodia,attack|cooking|man|spirit being|masak|manusia
,,,
CMB0421.tif,,Cambodia,bugs|centipede|insects|sleeping|woman|serangga|lipan|kelabang|kaki seribu|tidur|wanita
,,,
CMB0423.tif,,Cambodia,accident|dead|elephant|man|woman|mati|gajah|manusia|wanita
,,,
CMB0416.tif,,Cambodia,bugs|centipede|insects|sleeping|woman|serangga|lipan|kelabang|kaki seribu|tidur|wanita
,,,
CMB0435.tif,,Cambodia,shawl|selendang
,,,
CMB0442.tif,,Cambodia,bucket|laundry|pot|wash|woman|work|ember|timba|cuci pakaian|panci|cuci|wanita|kerja
,,,
CMB0440.tif,,Cambodia,flashlight|senter
,,,
CMB0471.tif,,Cambodia,map|street|peta|jalan
,,,
CMB0428.tif,,Cambodia,man|spirit being|manusia
,,,
CMB0454.tif,,Cambodia,height|measure|man|tinggi|manusia|ukuran
,,,
CMB0459.tif,,Cambodia,hand|palm|tangan|kelapa
,,,
CMB0447.tif,,Cambodia,man|reading|manusia|membaca
,,,
CMB0466.tif,,Cambodia,fruit|mango|buah|mangga
,,,
CMB0486.tif,,Cambodia,glass|gelas (wadah)
,,,
CMB0473.tif,,Cambodia,globe|night|rotate|world|earth|bumi|bola bumi|malam|berputar|dunia
,,,
CMB0491.tif,,Cambodia,tablet|pill|medicine|packet|bag|health|tas|kesehatan|ilmu kesehatan|pak|pil
,,,
CMB0478.tif,,Cambodia,pan|handle|pot|pegangan|panci
,,,
CMB0493.tif,,Cambodia,ascending|man|stairway|manusia|tangga
,,,
CMB0513.tif,,Cambodia,animal|chicken|cow|deer|elephant|tiger|binatang|ayam|sapi|rusa|gajah|harimau
,,,
CMB0498.tif,,Cambodia,motorcycle|vehicle|transportation|sepeda motor|motor|transportasi|pengangkutan|kendaraan
,,,
CMB0505.tif,,Cambodia,snake|cobra|reptile|ular sendok|reptil|ular
,,,
CMB0510.tif,,Cambodia,boy|family|girl|man|mat|sit|woman|anak laki-laki|keluarga|anak perempuan|manusia|tikar|duduk|wanita
,,,
CMB0530.tif,,Cambodia,garden|hoe|man|woman|work|agriculture|pertanian|taman|kebun|cangkul|manusia|wanita|kerja
,,,
CMB0518.tif,,Cambodia,hammer|mallet|man|reptile|turtle|palu|martelu|tukul kayu|manusia|reptil|kura-kura
,,,
CMB0544.tif,,Cambodia,woman|talking|dog|animal|house|binatang|anjing|rumah|bicara|wanita
,,,
CMB0537.tif,,Cambodia,sit|woman|duduk|wanita
,,,
CMB0549.tif,,Cambodia,pot|clay jar|tembikar|gerabah|panci
,,,
CMB0556.tif,,Cambodia,porcupine|animal|binatang
,,,
CMB0525.tif,,Cambodia,butterfly|bugs|insects|serangga|kupu-kupu
,,,
CMB0575.tif,,Cambodia,animal|chicken|hare|rabbit|binatang|ayam|kelinci
,,,
